id,context,utterance,implicature,implicature2
17335,Would you be interested in a book club?,That's boring,0,No
17336,Have you ever ready Stephen King books?,"I've read a few of King's books, they're good.",1,Yes
17337,Is the pay good?,Better than what I'm making now.,1,Yes
17338,Will you live alone?,I have a dog.,0,No
17339,Do you have friends or family in New York?,I have a few friends here,1,Yes
17340,Do you want to see a movie later?,I want to see an action movie,1,Yes
17341,Did you read Gone Girl?,It's a pretty interesting book.,1,Yes
17342,Do you like thrillers?,I like anything that makes me try to figure it out.,1,Yes
17343,Are there parks and amenities close to the flat you are considering?,That is an important part of my new location.,1,Yes
17344,Do you need a lot of space?,I can get by as a minimalist.,0,No
17345,Did you read The Help?,It's on my must-read list.,0,No
17346,Want to go see some live music with me tonight?,It depends on who's playing.,1,Yes
17347,Do you like bossanova?,"I prefer rock,",0,No
17349,Do you care about the lyrics at all?,I prefer clean lyrics.,1,Yes
17350,Do you like rock and roll music?,I put it on when I need to get up and get moving.,1,Yes
17351,Do you have a mortgage right now?,I will be getting one,0,No
17352,Are you all headed out now?,Just heading home.,1,Yes
17353,Want to visit anyone else while you're here?,Only if it's ok with you.,1,Yes
17354,Do you go to concerts?,All the time.,1,Yes
17355,Are you ready to go out for dinner?,I certainly am,1,Yes
17356,Do you like children books?,It depends on how well they're illustrated.,1,Yes
17357,Is it technical?,"It's less technical, which suits me.",1,Yes
17358,Do you work at an office?,I work out of my home.,0,No
17359,Have you been to the new movie theater downtown?,It's stunning.,1,Yes
17360,Did you ever play in the band in high school?,I wasn't into music.,0,No
17361,Has it been a long time since you've seen our old houses?,I drove by last night.,0,No
17362,Are you into electronic music?,It doesn't make any sense to me.,0,No
17363,Do you still live with your mom?,She moved to Florida.,0,No
17364,Would you drive 30 minutes to work?,30 minutes is not a bad commute.,1,Yes
17365,Have you traveled out of the country?,I've been to Mexico and Europe.,1,Yes
17366,Are you satisfied with how things have turned out?,Wouldn't change a thing.,1,Yes
17367,Are you into musicals?,I have enjoyed many old school ones.,1,Yes
17368,Are you married yet?,My girlfriend doesn't want to get engaged.,0,No
17369,Have you got any plans tonight?,I'm heading out of town.,1,Yes
17370,Are you into sports?,I don't like sports,0,No
17371,Do you like video games?,"I love the classics, like Mario Brothers.",1,Yes
17372,Do you like ballet?,Only when the dancers wear elaborate costumes.,1,Yes
17374,Do you like working out?,I go to the gym three or four times a week.,1,Yes
17375,Are you into dancing?,I love to shake it.,1,Yes
17376,Are you well?,"Fine, I guess.",1,Yes
17377,Are you driving home now?,I'm going to the pub.,0,No
17378,Do you like going on walks?,I try to walk 5 miles a day.,1,Yes
17379,Would you like to meet me for a drink?,I am available now.,1,Yes
17380,Do you live here by yourself?,I have 3 roomates.,0,No
17381,Did you get a good performance review?,I exceeded expectations on my review.,1,Yes
17382,Does sushi fill you up?,I prefer pizza.,0,No
17383,Is your job a full time one?,I work 40 hours a week.,1,Yes
17384,Are you a fan of metal?,It's the only genre I like.,1,Yes
17385,Have you ever worked in a kitchen?,I'd love the chance!,0,No
17387,Are you a local?,"I am from across town, so not quite.",0,No
17388,Are you still working as a lawyer?,I made partner this year.,1,Yes
17389,Would you like a large building?,I want to know all my neighbors.,0,No
17390,Are you into electronic music?,It's too loud and I don't like dancing to it.,0,No
17391,Would you like to talk about sports?,I love the new Canadian tennis players.,1,Yes
17392,Would you eat Mediterranean food?,I think I would,1,Yes
17393,Got any plans?,I'm off to a movie.,1,Yes
17394,Do you like jazz concerts?,I can't say I do,0,No
17395,Want to go the cinema this weekend to see the latest blockbuster ?,That sounds good,1,Yes
17396,Do you eat breakfast food for lunch or dinner?,I love to.,1,Yes
17397,Is that your car I saw?,It's my friend's car.,0,No
17398,Do you need help in knowing the neighbourhood?,I can find my way around.,0,No
17399,Do you have pets?,We have a canary.,1,Yes
17400,Is horror too much for you?,I am not a fan of scary music.,1,Yes
17401,Are there parks and amenities close to the flat you are considering?,I couldn't live without nearby green space.,1,Yes
17402,Are you up to getting out?,I'm ready for an adventure.,1,Yes
17403,Do you want to live in Manhattan?,I'd prefer Brooklyn.,0,No
17404,Can you afford to buy a flat in New York?,I will be renting.,0,No
17405,Do you like parties?,Who doesn't?,1,Yes
17406,Are you a fan of movie soundtracks?,I like a lot of them,1,Yes
17407,Would you like alcohol or a cocktail with your meal?,I would rather have a glass of water.,0,No
17408,Are you a pescatarian?,I like steak too much.,0,No
17409,Aren't they paying you above asking?,"They are, but I could get more at the new job.",1,Yes
17410,Would you be OK with a studio unit?,That would be good.,1,Yes
17411,Have you had Korean food?,I eat Korean regularly.,1,Yes
17412,Do you think you'd like living in New York?,It's my favorite!,1,Yes
17413,Do you often feel unchallenged at work?,Every day is a new challenge.,0,No
17415,Was your flight okay?,It went without a hitch.,1,Yes
17416,"Hey if you're up to it, would you like to hit the gym with me in the morning?",Morning is my favorite time to go to the gym.,1,Yes
17417,Do you read newspapers?,Only on Saturdays,1,Yes
17418,Are you a supervisor?,They moved me up a few years ago.,1,Yes
17419,Have you seen the prices there?,I've researched the prices.,1,Yes
17420,Do you like asian food?,It depends on what it is,1,Yes
17421,Do you have a CD collection?,I sold all my cd's,0,No
17422,Are you interested in history or historical novels?,I wouldn't say so,0,No
17423,Is the price reasonable?,It's a steal.,1,Yes
17424,Do you like ballet?,I used to take lessons.,1,Yes
17425,Have you travelled internationally?,I've been almost everywhere.,1,Yes
17426,Do you like to take some time for yourself on the weekends?,I do when I can,1,Yes
17427,Are there any bedrooms?,There's one room for my bed.,1,Yes
17428,Are you still engaged?,We're planning the wedding.,1,Yes
17430,Would you like something hot?,Over a salad any day.,1,Yes
17431,Do you mind seafood?,I love all seafood.,0,No
17432,Can you give me a ride home?,I'm getting the train,0,No
17433,Do you get paid time off?,It depends on how well the company is doing.,1,Yes
17434,Do you enjoy sports events?,"I'll watch sports on TV, but not in person.",1,Yes
17435,Have you been to that new restaurant?,I'm going this weekend,0,No
17436,Did you read the Game of Thrones books?,I wanted to.,0,No
17437,Do you want to go for brunch tomorrow?,I am down for brunch with mimosas.,1,Yes
17438,Do you like horror movies?,Horror is my favourite,1,Yes
17439,Do you like illustrations?,I'm an illustrator.,1,Yes
17440,Do you need a nap?,I could do with a rest.,1,Yes
17441,Want to grab a coffee one of these days?,I'm free Saturday morning.,1,Yes
17442,Is your new job going well?,I think the boos likes me.,1,Yes
17443,How about a game of cards?,"I'm a card shark, so you better watch out.",1,Yes
17444,Do you know much about this town?,"I don't, so you'll have to show me around.",0,No
17445,Should we meet up for lunch on Monday?,Monday is booked up.,0,No
17447,Do you like novels?,I only read mysteries.,1,Yes
17448,Have you had,"ones?"",""I don't have to in my current position.",0,No
17449,Have you listened to music while cleaning?,It's the only thing that helps me keep going.,1,Yes
17450,Do you like roller coasters?,If they aren't too high.,1,Yes
17451,Will you live in it?,My plan is to sublet.,0,No
17452,Have you been in town this whole time?,I only just arrived today.,0,No
17453,Are you sure this is what you want to do?,"I've thought a lot about it, and it feels right.",1,Yes
17454,Do you want to be outside?,I love the outdoors.,1,Yes
17455,Are you a fan of science fiction?,I'd rather read a good biography.,0,No
17457,Do you work with people?,only 3 or 4,1,Yes
17458,Would you like to meet me for a drink?,I'm not drinking this month.,0,No
17459,Do you want to be on a floor high up?,I prefer having a ground floor apartment.,0,No
17460,Want me to show you around?,that would be great,1,Yes
17461,Do you listen to new music every Friday?,I don't make it a habit.,0,No
17462,Have you read the 50 Shades trilogy yet?,I'm never going to read that.,0,No
17463,Is reading crime fiction something you like to do?,That sounds terrible!,0,No
17464,Do you like country music?,I like any kind of music.,1,Yes
17465,Want to go for a beer?,That sounds really good.,1,Yes
17466,Are you in a support position?,I'm a supervisor.,0,No
17467,Is that big project you were working on done?,We just finished it.,1,Yes
17468,Did you move out of the neighborhood?,I moved a few years ago,1,Yes
17469,Do you want to go do something together?,Let's do it!,1,Yes
17470,Have you ever been rock-climbing?,It looks too dangerous for my taste.,0,No
17471,Do you have any children?,I've spread my seed across the land.,1,Yes
17472,Do you drink beer?,I love an IPA.,1,Yes
17473,Do you like your job?,It's the best job I've ever had.,1,Yes
17474,Do you enjoy nature?,Nature is very soothing.,1,Yes
17475,Do you read everyday?,I read any day ending in 'Y.',1,Yes
17476,Do you read much non-fiction?,Biographies are great.,1,Yes
17477,Do you still drink?,I quit a few months ago.,0,No
17478,Do y,"ones for your work?"",""I have a secretary who handles that for me.",0,No
17479,Have you been to Torchys?,Heard about it once.,0,No
17480,Do you often eat out in restaurants?,I usually cook at home.,0,No
17481,Do you often listen to pop music?,When it's on the radio I listen,1,Yes
17482,Do you like the city so far?,It's great so far.,1,Yes
17483,Have you ever been rock-climbing?,I hurt my knee climbing in Oregon.,1,Yes
17484,Will you be watching that new drama this evening?,I don't think I'll have time.,0,No
17485,Was the trip in alright?,We had a wonderful time.,1,Yes
17486,Is this a profession you want to stay in?,The new job would be a field I'd want to stay in.,1,Yes
17487,Are your mum and dad still alive ?,They are in Florida.,1,Yes
17488,Do you work everyday of the week?,Seems like it.,1,Yes
17489,Are you ready for the weekend?,I can't wait,1,Yes
17490,Do have any pets?,I have five pets.,1,Yes
17491,Do you think you might want to go camping this weekend?,If the weather is good.,1,Yes
17492,Will you be working tomorrow?,I have an all-day family event tomorrow.,0,No
17493,Do you want one bedroom?,I need more rooms because I would like to have kids one day.,0,No
17494,Are you a fan of horror books?,I hate horror books,0,No
17495,Do you have a lot of hobbies?,I only have a few really,0,No
17496,Have you been to Barton Springs?,I've never heard of that place before.,0,No
17497,Do you like burger places?,Burger places are a favorite of mine,1,Yes
17498,Do you want to go sightseeing?,I prefer to stay away from doing touristy things,0,No
