context,utterance,implicature
Do you live here now?,I live near here,1
Have you found a flat yet?,I found a nice little place.,1
Have you set your budget for the purchase?,I've decided $200k is my limit.,1
Would you ever move to a different state?,It would be fun to live in every state once.,1
Are you unhappy where you're at?,I need a change of scenery.,1
Have you read the fifty shades of grey?,I have no desire to.,0
Are you leaving as well?,I sure am not going to stay here.,1
Are you open to having roommates that you rent to?,I'd rather not anymore.,0
Is it in Brooklyn?,It is indeed,1
Are you in the mood for ramen?,If it has a lot of vegetables in.,1
Do you have any pets?,I have a cat,1
Do you like horror movies?,Oh I love scary movies.,1
Would you like to go to the Opera?,I'd love to see an opera.,1
Do you have any special plans for the weekend?,It's my anniversary.,1
Do you have plans for tonight?,I am doing nothing,0
Are you excited for the weekend?,Unfortunately my crazy brother is in town.,0
Want to find a restaurant?,I would like to have Chinese for dinner.,1
Are you a fan of curry?,I don't really like it.,0
Have you been here before?,This is the first I've stepped foot in this city.,0
Are you looking for a flat in a walkable neighborhood?,I love to walk so it is a must,1
Would you like to join me for a run sometime?,that would be good,1
Are you bored in your current job?,I think I need a change.,1
Do you like to play the drums?,I don't like percussion instruments.,0
"Hi, are you okay?",Everything is just fine.,1
Did you enjoy your time as a bus driver before your current job?,I loved the people.,1
Would you like to learn cooking recipes?,If they're keto recipes.,1
Have you seen the new Star Wars movie yet?,That's too dorky for my tastes.,0
Is this a profession you want to stay in?,Something new would be interesting.,0
Do you work close?,My commute takes 45 minutes.,0
Did you go to college abroad?,I studied here.,0
Do you like working nights?,I prefer the day shift,0
Do you like fantasy books as well?,I can't say that.,0
Is it within walking distance of work?,I will have to take the subway.,0
Would you consider yourself a fictional reader?,I read everything.,1
Are you into theater?,I would rather watch sports.,0
Do you like live theater?,I like it quite well,1
Have you ever been rock-climbing?,I hurt my knee climbing in Oregon.,1
Would you go to a metal show?,I would never go to a metal show.,0
Are you interested in cars?,I was never really into them.,0
Can you wait for me to print this?,We can be a little late.,1
Do you like to attend concerts?,I go to a concert at least once a week.,1
Do you enjoy clubs?,That's not my scene.,0
Do you have a favorite musician?,I have all of Jeff Buckley's CDs.,1
Do you like to do Yoga?,I do sometimes like to do it,1
Do you enjoy seafood,Clams and oysters are delicious.,1
Do you like being outside?,I prefer indoor activities.,0
Do you need a separate office?,I don't need an extra room for that.,0
Do you like Harry Potter?,I prefer The Chronicles of Narnia.,0
Is your new job going well?,I love it so far,1
Are you going to watch Star Wars at the movies?,The Avengers movies are more interesting.,0
Would you ever sky dive?,I would be too scared.,0
Do you have a limit of what you want to pay?,I have to work in a budget.,1
Are you staying in tonight?,I need to get some rest; this cold is a real bummer.,1
You have any change of clothes?,I have everything I need in my overnight bag.,1
Is New York your only option?,I could also live nearby and commute.,0
Did you stay in the same neighborhood?,I moved when I went to college.,0
Does it have a nice view?,The panorama is amazing and beautiful.,1
Did you enjoy your time as a bus driver before your current job?,It was a bit stressful being a bus driver.,0
Do you like business related books?,I prefer self-help.,0
Have you checked the concerts happening in the area?,Who's playing?,0
Are you into music?,It depends on the genre.,1
Do you like trivia?,I usually win trivia games.,1
You driving tonight?,I'm taking a bus.,0
How about Stephen King?,Horror really scares me.,0
Have you got a car?,I sold my car,0
Are you still into heavy metal music ?,I'd rather listen to classical.,0
Do you mind a long subway ride?,I'd like my train ride to be less than 20 minutes.,0
Will you have to share the flat with anyone?,My sister will be moving with me.,1
Are you interested in non-fiction?,I don't enjoy it as much as fiction.,0
Do you know about that band coming to town?,I haven't heard of any upcoming music shows.,0
Have you seen the new Frozen movie?,Only ten times!,1
Are you into outdoor art?,Open air galleries are always cool.,1
Are you getting a flat in the city?,It'll be in Manhattan.,1
Are you from out of state?,I come from Argentina.,1
Do you drink alcohol?,All the time.,1
Would you like to pet my dog?,If your dog is okay with it.,1
Do you usually have to work late?,"When it's time to get off, I get to leave.",0
Are you into burger and fries?,They're my fave.,1
Do you like eating out?,I probably eat out more than I should.,1
Are you into graphic novels?,I have a huge collection.,1
"In work, do you find yourself to be analytical?",I rarely have a need for being analytical.,0
Are your parents still living with you?,They are in a home.,0
Is the salary higher?,There is a considerable increase.,1
Would you like to properly catch up some time?,"I'd love that, let me know when you're free.",1
Do you like outdoors activities?,I'd rather play board games.,0
Have you been to the opera?,I would be very open to going for the first time.,0
Do you read self-help books?,I don;t trust self-help authors.,0
Do you need a ride anywhere?,I've got a friend picking me up.,0
Do you have a favorite music station?,I listen to the alternative station.,1
Does your work require creativity?,All positions I apply for have creativity as a requirement.,1
Do you like hip hop?,some of it I do,1
Do you like to visit museums?,If it's an interesting one.,1
Are you free tonight?,I think I could be,1
Do you want to go for a drink?,I thought you'd never ask.,1
Do you have a favorite writer?,I have too many to name,1
Are you into athletics?,I work out every day.,1
Have you missed me?,We had such great times before.,1
"Are you well, seriously?",I am doing great.,1
Is everything good?,I've had a difficult year.,0
Are you into modern art?,I love checking out the galleries.,1
Have you slept good?,I can't get any rest.,0
Have a nice house yet?,We just bought one down the road from here.,1
Are you staying in a hotel?,I thought I was staying with you!,0
Are you into non-fiction?,I prefer fiction,0
"If you do decide to take this new job, would you consider as a promotion?",I think it would be,1
Do you have a specific go-to genre of music you like to listen to?,"Jazz, mostly.",1
Are you into rap?,Rap is not my thing.,0
Do you like humor?,I prefer more serious books.,0
Is it better than your old job?,Way better.,1
Are you into electronic music?,I prefer the classics.,0
Did you already booked a hotel?,I'm staying with a friend.,0
Are you still at the same job?,I moved jobs a while back,0
Would a book of short stories appeal to you?,Short stories keep my attention.,1
Do you have any experience in the job your looking for?,I have a little over a year in my field.,1
Would like to read a fantasy novel?,I'm into anything involving  elves and fairies.,1
Do you enjoy fiction?,I only read true stories.,0
Can you remember how long it's been since we saw each other?,quite a few years,1
Do you enjoy foreign cuisine?,It's not my favorite.,0
Is fiction what you're mostly into?,I read a fair bit of history and biography as well.,1
Would you like to go to the movies tonight?,I'm open to it.,1
Do you still live in the same home?,I love it there.,1
Do you like reading graphic novels?,some of them are good,1
Have you had pizza recently,We had pizza for lunch.,1
Are you a fan of sports?,Depends on the sport.,1
Are you ready to have fun?,Who isn't?,1
Are you still studying arts?,I had to give up my education to look after my elderly parents.,0
Do you still see our old friends?,I still hang with Steve.,1
Are you adventurous?,sometimes I am,1
Have you heard of the Father Brown mysteries?,I am not familiar.,0
Are you vegetarian or vegan?,I try to include some of both in my diet.,1
Do you like going out?,I'm a party girl.,1
Do you want something quick?,I fancy something from the fast food chain over there.,1
